subject,trial,sound,wordcond,stroop,response,distractor,error
136,17,apple,cog,inc,22,9,0
136,18,dragon,cog,inc,18,12,0
136,19,leparts,neutral,con,15,19,1
136,20,drawer,cog,inc,31,13,0
136,21,train,ff,con,28,28,1
136,22,chimney,ff,inc,21,4,1
136,23,match,ff,inc,24,7,0
136,24,merdant,neutral,inc,7,20,0
137,1,cross,ff,inc,20,5,0
137,2,button,cog,con,30,11,0
137,3,camel,ff,con,21,2,0
137,4,sardrobe,neutral,inc,15,22,0
137,5,thet,neutral,inc,13,24,0
137,6,backbund,neutral,con,1,17,0
137,7,spenlers,neutral,con,25,23,1
137,8,key,ff,inc,27,6,0
137,9,rav,neutral,con,14,21,0
137,10,lock,cog,con,19,15,0
137,11,hellfime,neutral,inc,12,18,1
137,12,box,cog,inc,29,10,0
137,13,candle,ff,con,9,25,1
137,14,lipstick,cog,con,32,14,0
137,15,balloon,ff,con,17,1,0
137,16,pig,cog,con,23,16,0
137,17,apple,cog,inc,22,9,0
137,18,dragon,cog,inc,18,12,0
137,19,leparts,neutral,con,6,19,0
137,20,drawer,cog,inc,31,13,0
137,21,train,ff,con,28,28,1
137,22,chimney,ff,inc,26,4,0
137,23,match,ff,inc,24,7,0
137,24,merdant,neutral,inc,7,20,0
138,1,cross,ff,inc,20,5,0
138,2,button,cog,con,30,11,0
138,3,camel,ff,con,21,2,0
138,4,sardrobe,neutral,inc,15,22,0
138,5,thet,neutral,inc,13,24,0
138,6,backbund,neutral,con,1,17,0
138,7,spenlers,neutral,con,5,23,1
138,8,key,ff,inc,4,6,1
138,9,rav,neutral,con,14,21,0
138,10,lock,cog,con,19,15,0
138,11,hellfime,neutral,inc,2,18,0
138,12,box,cog,inc,29,10,0
138,13,candle,ff,con,3,25,0
138,14,lipstick,cog,con,32,14,0
138,15,balloon,ff,con,17,1,0
138,16,pig,cog,con,23,16,0
138,17,apple,cog,inc,22,9,0
138,18,dragon,cog,inc,18,12,0
138,19,leparts,neutral,con,6,19,0
